session_id,track_name,artist_name,album_name,session_position,skip_prediction,ground_truth,prompt
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,Start Over (feat. NF),Flame,Royal Flush,2,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven', 'track_duration': 229, 'track_popularity': 99.5559, 'release_year': 2013} - Not Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush', 'track_duration': 196, 'track_popularity': 99.9823, 'release_year': 2013}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,Get Your Weight Up,K-Drama,We Fit: The Workout Plan,3,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven', 'track_duration': 229, 'track_popularity': 99.5559, 'release_year': 2013} - Not Skipped, 
{'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush', 'track_duration': 196, 'track_popularity': 99.9823, 'release_year': 2013} - Not Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Get Your Weight Up', 'track_artist': 'K-Drama', 'track_album': 'We Fit: The Workout Plan', 'track_duration': 270, 'track_popularity': 98.1634, 'release_year': 2010}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,No Quit,Derek Minor,No Quit,4,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven', 'track_duration': 229, 'track_popularity': 99.5559, 'release_year': 2013} - Not Skipped, 
{'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush', 'track_duration': 196, 'track_popularity': 99.9823, 'release_year': 2013} - Not Skipped, 
{'track_name': 'Get Your Weight Up', 'track_artist': 'K-Drama', 'track_album': 'We Fit: The Workout Plan', 'track_duration': 270, 'track_popularity': 98.1634, 'release_year': 2010} - Not Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'No Quit', 'track_artist': 'Derek Minor', 'track_album': 'No Quit', 'track_duration': 249, 'track_popularity': 99.4746, 'release_year': 2015}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,Coogi Sweater,Social Club Misfits,Misfits 2,5,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven', 'track_duration': 229, 'track_popularity': 99.5559, 'release_year': 2013} - Not Skipped, 
{'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush', 'track_duration': 196, 'track_popularity': 99.9823, 'release_year': 2013} - Not Skipped, 
{'track_name': 'Get Your Weight Up', 'track_artist': 'K-Drama', 'track_album': 'We Fit: The Workout Plan', 'track_duration': 270, 'track_popularity': 98.1634, 'release_year': 2010} - Not Skipped, 
{'track_name': 'No Quit', 'track_artist': 'Derek Minor', 'track_album': 'No Quit', 'track_duration': 249, 'track_popularity': 99.4746, 'release_year': 2015} - Not Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Coogi Sweater', 'track_artist': 'Social Club Misfits', 'track_album': 'Misfits 2', 'track_duration': 273, 'track_popularity': 99.7506, 'release_year': 2014}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,Jumped Out the Whip,Tedashii,Jumped Out the Whip,6,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven', 'track_duration': 229, 'track_popularity': 99.5559, 'release_year': 2013} - Not Skipped, 
{'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush', 'track_duration': 196, 'track_popularity': 99.9823, 'release_year': 2013} - Not Skipped, 
{'track_name': 'Get Your Weight Up', 'track_artist': 'K-Drama', 'track_album': 'We Fit: The Workout Plan', 'track_duration': 270, 'track_popularity': 98.1634, 'release_year': 2010} - Not Skipped, 
{'track_name': 'No Quit', 'track_artist': 'Derek Minor', 'track_album': 'No Quit', 'track_duration': 249, 'track_popularity': 99.4746, 'release_year': 2015} - Not Skipped, 
{'track_name': 'Coogi Sweater', 'track_artist': 'Social Club Misfits', 'track_album': 'Misfits 2', 'track_duration': 273, 'track_popularity': 99.7506, 'release_year': 2014} - Not Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Jumped Out the Whip', 'track_artist': 'Tedashii', 'track_album': 'Jumped Out the Whip', 'track_duration': 246, 'track_popularity': 99.9433, 'release_year': 2015}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,changes,XXXTENTACION,?,2,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'Jocelyn Flores', 'track_artist': 'XXXTENTACION', 'track_album': '17', 'track_duration': 119, 'track_popularity': 100.0, 'release_year': 2017} - Not Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'changes', 'track_artist': 'XXXTENTACION', 'track_album': '?', 'track_duration': 121, 'track_popularity': 99.9999, 'release_year': 2018}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,Everybody Dies In Their Nightmares,XXXTENTACION,17,3,False,True,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'Jocelyn Flores', 'track_artist': 'XXXTENTACION', 'track_album': '17', 'track_duration': 119, 'track_popularity': 100.0, 'release_year': 2017} - Not Skipped, 
{'track_name': 'changes', 'track_artist': 'XXXTENTACION', 'track_album': '?', 'track_duration': 121, 'track_popularity': 99.9999, 'release_year': 2018} - Not Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Everybody Dies In Their Nightmares', 'track_artist': 'XXXTENTACION', 'track_album': '17', 'track_duration': 95, 'track_popularity': 99.9999, 'release_year': 2017}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,the remedy for a broken heart (why am I so in love),XXXTENTACION,?,4,True,True,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'Jocelyn Flores', 'track_artist': 'XXXTENTACION', 'track_album': '17', 'track_duration': 119, 'track_popularity': 100.0, 'release_year': 2017} - Not Skipped, 
{'track_name': 'changes', 'track_artist': 'XXXTENTACION', 'track_album': '?', 'track_duration': 121, 'track_popularity': 99.9999, 'release_year': 2018} - Not Skipped, 
{'track_name': 'Everybody Dies In Their Nightmares', 'track_artist': 'XXXTENTACION', 'track_album': '17', 'track_duration': 95, 'track_popularity': 99.9999, 'release_year': 2017} - Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'the remedy for a broken heart (why am I so in love)', 'track_artist': 'XXXTENTACION', 'track_album': '?', 'track_duration': 160, 'track_popularity': 99.9999, 'release_year': 2018}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,Hope,XXXTENTACION,?,5,False,True,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'Jocelyn Flores', 'track_artist': 'XXXTENTACION', 'track_album': '17', 'track_duration': 119, 'track_popularity': 100.0, 'release_year': 2017} - Not Skipped, 
{'track_name': 'changes', 'track_artist': 'XXXTENTACION', 'track_album': '?', 'track_duration': 121, 'track_popularity': 99.9999, 'release_year': 2018} - Not Skipped, 
{'track_name': 'Everybody Dies In Their Nightmares', 'track_artist': 'XXXTENTACION', 'track_album': '17', 'track_duration': 95, 'track_popularity': 99.9999, 'release_year': 2017} - Skipped, 
{'track_name': 'the remedy for a broken heart (why am I so in love)', 'track_artist': 'XXXTENTACION', 'track_album': '?', 'track_duration': 160, 'track_popularity': 99.9999, 'release_year': 2018} - Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Hope', 'track_artist': 'XXXTENTACION', 'track_album': '?', 'track_duration': 110, 'track_popularity': 99.9999, 'release_year': 2018}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_000065b5-50a8-4616-8d80-2cb594ed8524,Plain Jane,A$AP Ferg,Still Striving,2,False,True,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'When It Rains It Pours', 'track_artist': 'Luke Combs', 'track_album': ""This One's for You"", 'track_duration': 240, 'track_popularity': 99.9995, 'release_year': 2016} - Not Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Plain Jane', 'track_artist': 'A$AP Ferg', 'track_album': 'Still Striving', 'track_duration': 173, 'track_popularity': 99.9997, 'release_year': 2017}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_000065b5-50a8-4616-8d80-2cb594ed8524,G.O.M.D.,J. Cole,2014 Forest Hills Drive,3,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service. Here are some details about the information you will be given to help you make your decision:
    US Popularity Score: The popularity of a track is a value between 90 and 100, with 100 being the most popular. The popularity is based on the total number of plays the track has had across all users on the streaming service, and how recent those plays are.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.
    
{'track_name': 'When It Rains It Pours', 'track_artist': 'Luke Combs', 'track_album': ""This One's for You"", 'track_duration': 240, 'track_popularity': 99.9995, 'release_year': 2016} - Not Skipped, 
{'track_name': 'Plain Jane', 'track_artist': 'A$AP Ferg', 'track_album': 'Still Striving', 'track_duration': 173, 'track_popularity': 99.9997, 'release_year': 2017} - Skipped

    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'G.O.M.D.', 'track_artist': 'J. Cole', 'track_album': '2014 Forest Hills Drive', 'track_duration': 301, 'track_popularity': 99.9987, 'release_year': 2014}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
