session_id,track_name,artist_name,album_name,session_position,skip_prediction,ground_truth,prompt
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,Start Over (feat. NF),Flame,Royal Flush,2,True,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: True

    {'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,Get Your Weight Up,K-Drama,We Fit: The Workout Plan,3,True,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Se Preparó', 'track_artist': 'Ozuna', 'track_album': 'Odisea'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: False

    {'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven'} - Not Skipped
, {'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Get Your Weight Up', 'track_artist': 'K-Drama', 'track_album': 'We Fit: The Workout Plan'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,No Quit,Derek Minor,No Quit,4,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Se Preparó', 'track_artist': 'Ozuna', 'track_album': 'Odisea'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'La Modelo', 'track_artist': 'Ozuna', 'track_album': 'Aura'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: False

    {'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven'} - Not Skipped
, {'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush'} - Not Skipped
, {'track_name': 'Get Your Weight Up', 'track_artist': 'K-Drama', 'track_album': 'We Fit: The Workout Plan'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'No Quit', 'track_artist': 'Derek Minor', 'track_album': 'No Quit'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,Coogi Sweater,Social Club Misfits,Misfits 2,5,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Se Preparó', 'track_artist': 'Ozuna', 'track_album': 'Odisea'} - Not Skipped
, {'track_name': 'La Modelo', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'X - Remix', 'track_artist': 'Nicky Jam', 'track_album': 'X'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: False

    {'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven'} - Not Skipped
, {'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush'} - Not Skipped
, {'track_name': 'Get Your Weight Up', 'track_artist': 'K-Drama', 'track_album': 'We Fit: The Workout Plan'} - Not Skipped
, {'track_name': 'No Quit', 'track_artist': 'Derek Minor', 'track_album': 'No Quit'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Coogi Sweater', 'track_artist': 'Social Club Misfits', 'track_album': 'Misfits 2'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,Jumped Out the Whip,Tedashii,Jumped Out the Whip,6,False,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Se Preparó', 'track_artist': 'Ozuna', 'track_album': 'Odisea'} - Not Skipped
, {'track_name': 'La Modelo', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Not Skipped
, {'track_name': 'X - Remix', 'track_artist': 'Nicky Jam', 'track_album': 'X'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Te Boté - Remix', 'track_artist': 'Nio Garcia', 'track_album': 'Te Boté (Remix)'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: False

    {'track_name': 'My City (Bonus Track)', 'track_artist': 'Canon', 'track_album': 'Mad Haven'} - Not Skipped
, {'track_name': 'Start Over (feat. NF)', 'track_artist': 'Flame', 'track_album': 'Royal Flush'} - Not Skipped
, {'track_name': 'Get Your Weight Up', 'track_artist': 'K-Drama', 'track_album': 'We Fit: The Workout Plan'} - Not Skipped
, {'track_name': 'No Quit', 'track_artist': 'Derek Minor', 'track_album': 'No Quit'} - Not Skipped
, {'track_name': 'Coogi Sweater', 'track_artist': 'Social Club Misfits', 'track_album': 'Misfits 2'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Jumped Out the Whip', 'track_artist': 'Tedashii', 'track_album': 'Jumped Out the Whip'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,changes,XXXTENTACION,?,2,True,False,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: True

    {'track_name': 'Jocelyn Flores', 'track_artist': 'XXXTENTACION', 'track_album': '17'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'changes', 'track_artist': 'XXXTENTACION', 'track_album': '?'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,Everybody Dies In Their Nightmares,XXXTENTACION,17,3,True,True,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Se Preparó', 'track_artist': 'Ozuna', 'track_album': 'Odisea'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: False

    {'track_name': 'Jocelyn Flores', 'track_artist': 'XXXTENTACION', 'track_album': '17'} - Not Skipped
, {'track_name': 'changes', 'track_artist': 'XXXTENTACION', 'track_album': '?'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Everybody Dies In Their Nightmares', 'track_artist': 'XXXTENTACION', 'track_album': '17'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,the remedy for a broken heart (why am I so in love),XXXTENTACION,?,4,True,True,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Se Preparó', 'track_artist': 'Ozuna', 'track_album': 'Odisea'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'La Modelo', 'track_artist': 'Ozuna', 'track_album': 'Aura'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: False

    {'track_name': 'Jocelyn Flores', 'track_artist': 'XXXTENTACION', 'track_album': '17'} - Not Skipped
, {'track_name': 'changes', 'track_artist': 'XXXTENTACION', 'track_album': '?'} - Not Skipped
, {'track_name': 'Everybody Dies In Their Nightmares', 'track_artist': 'XXXTENTACION', 'track_album': '17'} - Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'the remedy for a broken heart (why am I so in love)', 'track_artist': 'XXXTENTACION', 'track_album': '?'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,Hope,XXXTENTACION,?,5,False,True,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped
, {'track_name': 'Se Preparó', 'track_artist': 'Ozuna', 'track_album': 'Odisea'} - Not Skipped
, {'track_name': 'La Modelo', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'X - Remix', 'track_artist': 'Nicky Jam', 'track_album': 'X'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: False

    {'track_name': 'Jocelyn Flores', 'track_artist': 'XXXTENTACION', 'track_album': '17'} - Not Skipped
, {'track_name': 'changes', 'track_artist': 'XXXTENTACION', 'track_album': '?'} - Not Skipped
, {'track_name': 'Everybody Dies In Their Nightmares', 'track_artist': 'XXXTENTACION', 'track_album': '17'} - Skipped
, {'track_name': 'the remedy for a broken heart (why am I so in love)', 'track_artist': 'XXXTENTACION', 'track_album': '?'} - Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Hope', 'track_artist': 'XXXTENTACION', 'track_album': '?'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
1_000065b5-50a8-4616-8d80-2cb594ed8524,Plain Jane,A$AP Ferg,Still Striving,2,True,True,"Predict whether the next song in the sequence will be skipped by the user, who is listening to music through a streaming service.

    The user has listened to the following tracks in chronological order. Tracks that were skipped are followed by the word 'Skipped', and tracks that were listened to in full are followed by the words 'Not Skipped'.

    Example:
    {'track_name': 'Vaina Loca', 'track_artist': 'Ozuna', 'track_album': 'Aura'} - Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Unica', 'track_artist': 'Ozuna', 'track_album': 'Aura'}.

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer: True

    {'track_name': 'When It Rains It Pours', 'track_artist': 'Luke Combs', 'track_album': ""This One's for You""} - Not Skipped


    Will the user skip the next track in the sequence? Here is the next track:
    {'track_name': 'Plain Jane', 'track_artist': 'A$AP Ferg', 'track_album': 'Still Striving'}

    Please limit your response to only one word - 'True' if you think the song will be skipped, and 'False' if you think the user will listen to the song. Do not respond with any other words.

    Answer:"
